model,seed,split,metric,epoch,loss_timesummed,display_divisor,metric_convention,source_path,record_type
original,0,train,total_loss,103,4.6984076499938965,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
original,0,train,total_loss,104,4.688590049743652,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
original,0,train,total_loss,105,4.679486274719238,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
original,0,train,total_loss,106,4.670113563537598,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
original,0,train,total_loss,107,4.65978479385376,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
original,0,train,total_loss,108,4.648189067840576,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
original,0,train,total_loss,109,4.6354169845581055,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
original,0,train,total_loss,110,4.62185525894165,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
original,0,train,total_loss,111,4.6080193519592285,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
original,0,train,total_loss,112,4.594429969787598,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
original,0,train,total_loss,113,4.5814738273620605,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
original,0,train,total_loss,114,4.5693230628967285,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
original,0,train,total_loss,115,4.557955741882324,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
original,0,train,total_loss,116,4.547177791595459,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
original,0,train,total_loss,117,4.536725044250488,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
original,0,train,total_loss,118,4.5263214111328125,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
original,0,train,total_loss,119,4.51577091217041,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
original,0,train,total_loss,120,4.504974365234375,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
original,0,train,total_loss,121,4.4939470291137695,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
