method,seed,interval,t_start_s,t_end_s,species,mean_normalized_squared_endpoint_error
original,2,9,9.310344696044922,10.344827651977539,GL,4.9674032197799534e-05
original,2,9,9.310344696044922,10.344827651977539,RCO2R,6.118503279139986e-06
original,2,10,10.344827651977539,11.379310607910156,TG,8.966230780060869e-06
original,2,10,10.344827651977539,11.379310607910156,ROH,9.3834105427959e-06
original,2,10,10.344827651977539,11.379310607910156,DG,0.0001451911375625059
original,2,10,10.344827651977539,11.379310607910156,MG,2.2826412532594986e-05
original,2,10,10.344827651977539,11.379310607910156,GL,4.2303749069105834e-05
original,2,10,10.344827651977539,11.379310607910156,RCO2R,5.670922291756142e-06
original,2,11,11.379310607910156,12.413793563842773,TG,1.0187078260059934e-05
original,2,11,11.379310607910156,12.413793563842773,ROH,1.1831011761387344e-05
original,2,11,11.379310607910156,12.413793563842773,DG,0.00014550557534676045
original,2,11,11.379310607910156,12.413793563842773,MG,2.6672007152228616e-05
original,2,11,11.379310607910156,12.413793563842773,GL,3.4847929782699794e-05
original,2,11,11.379310607910156,12.413793563842773,RCO2R,6.3868669712974224e-06
original,2,12,12.413793563842773,13.448275566101074,TG,1.1296701813989785e-05
original,2,12,12.413793563842773,13.448275566101074,ROH,1.4831695807515644e-05
original,2,12,12.413793563842773,13.448275566101074,DG,0.00014623622701037675
original,2,12,12.413793563842773,13.448275566101074,MG,3.080152237089351e-05
original,2,12,12.413793563842773,13.448275566101074,GL,2.8329426640993915e-05
original,2,12,12.413793563842773,13.448275566101074,RCO2R,7.87187491368968e-06
original,2,13,13.448275566101074,14.482758522033691,TG,1.2286351193324663e-05
original,2,13,13.448275566101074,14.482758522033691,ROH,1.811841138987802e-05
original,2,13,13.448275566101074,14.482758522033691,DG,0.00014761587954126298
original,2,13,13.448275566101074,14.482758522033691,MG,3.464034671196714e-05
original,2,13,13.448275566101074,14.482758522033691,GL,2.3251510356203653e-05
original,2,13,13.448275566101074,14.482758522033691,RCO2R,9.829305781750008e-06
original,2,14,14.482758522033691,15.517241477966309,TG,1.3160924027033616e-05
original,2,14,14.482758522033691,15.517241477966309,ROH,2.1501693481695838e-05
original,2,14,14.482758522033691,15.517241477966309,DG,0.00014965685841161758
original,2,14,14.482758522033691,15.517241477966309,MG,3.8006452086847275e-05
original,2,14,14.482758522033691,15.517241477966309,GL,1.9769497157540172e-05
original,2,14,14.482758522033691,15.517241477966309,RCO2R,1.2045421499351505e-05
original,2,15,15.517241477966309,16.55172348022461,TG,1.3929909982834943e-05
original,2,15,15.517241477966309,16.55172348022461,ROH,2.4851262423908338e-05
